,Learning Community Title,,CRN,Subject,Course #,Liberal Learning  Attribute,Day,Time,NOTES,,,,,,,,,,,,,,,,
1,Analyzing Our World,18,8580,FNAR,202,AICE,MWF,1100-1150,Used in 3,,,,,,,,,,,,,,,,
1,Analyzing Our World,18,8532,SOCL,201,AIGM,TR,0930-1045,,,,,,,,,,,,,,,,,
2,Analyzing Our World,18,8168,CPSC,110,LLFR,MWF,1500-1550,No Athletes *used in 2,,,,,,,,,,,,,,,,
2,Analyzing Our World,18,8605,HIST,111,AIGM,MWF,1400-1450,,**2023 Add in LATN/GERM,,,,,,,,,,,,,,,
2,Analyzing Our World,18,8809,PHIL,202,AIWT,TR,0800-0915,,,,,,,,,,,,,,,,,
3,Analyzing Our World,18,8779,SPAN,200,LLFL,MWF,1100-1150,,,,,,,,,,,,,,,,,
3,Analyzing Our World,18,8499,LDSP,210,,TR,1330-1445,PLP ONLY,,,,,,,,,,,,,,,,
3,Analyzing Our World,18,8842,RSTD,232,AIWT,TR,0800-0915,,,,,,,,,,,,,,,,,
4,Analyzing Our World,18,8362,MATH,127,LLFM,MWF,1000-1050,,,,,,,,,,,,,,,,,
4,Analyzing Our World,18,8490,LDSP,210,,MW,1800-1915,PLP ONLY,,,,,,,,,,,,,,,,
4,Analyzing Our World,18,8811,PHIL,202,AIWT,TR,1330-1445,,,,,,,,,,,,,,,,,
5,Analyzing Our World (ILC),16,8808,PHIL,201,AIGM,MWF,1300-1350,ILC: Silverman,,,,,,,,,,,,,,,,
5,Analyzing Our World (ILC),16,8580,FNAR,202,AICE,MWF,1100-1150,Used in 3,,,,,,,,,,,,,,,,
5,Analyzing Our World (ILC),16,8890,PSYC,202,,TR,1100-1215,PSYC majors only SUPER,,,,,,,,,,,,,,,,
6,Analyzing Our World (ILC),16,8886,PSYC,201,AINW,MWF,1300-1350,Super,,,,,,,,,,,,,,,,
6,Analyzing Our World (ILC),16,8621,HIST,121,AIDE,TR,1800-1915,,,,,,,,,,,,,,,,,
6,Analyzing Our World (ILC),16,8843,RSTD,232,AIWT,MWF ,0900-0950,ILC: Hutchinson,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",18,8112,CHEM,121,AINW,MWF,0900-0950,,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",18,8377,MATH,140,LLFM,MTWRF,1100-1150,CHEM only,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",18,8366,MATH,130,LLFM,MWF,1200-1250,BIOL only,,,,,,,,,,,,,,,,
8,"Biology, Chemistry and their Applications in Society",18,8113,CHEM,121,AINW,TR,0930-1045,used in 2,,,,,,,,,,,,,,,,
8,"Biology, Chemistry and their Applications in Society",18,8059,BIOL,211,,MWF,0900-0950,MUST HAVE SATM 620,,,,,,,,,,,,,,,,
9,"Biology, Chemistry and their Applications in Society",18,8109,CHEM,121,AINW,MWF,1000-1050,,,,,,,,,,,,,,,,,
9,"Biology, Chemistry and their Applications in Society",18,8057,BIOL,211,,MWF,1400-1450,"BIOL Majors, 4.0 GPA",,,,,,,,,,,,,,,,
9,"Biology, Chemistry and their Applications in Society",18,8356,MATH,125,LLFM,TR,0800-0915,,,,,,,,,,,,,,,,,
10,"Biology, Chemistry and their Applications in Society",18,8113,CHEM,121,AINW,TR,0930-1045,used in 2,,,,,,,,,,,,,,,,
10,"Biology, Chemistry and their Applications in Society",18,8493,LDSP,210,,TR,1630-1745,PLP ONLY No Athletes,,,,,,,,,,,,,,,,
10,"Biology, Chemistry and their Applications in Society",18,8364,MATH,130,LLFM,MWF ,0900-0950,,,,,,,,,,,,,,,,,
11,Communicating Effectively,16,8446,COMM,239,LLFR,TR,1800-1915,,,,,,,,,,,,,,,,,
11,Communicating Effectively,16,8296,POLS,101,AIDE,MWF,1000-1050,SUPER,,,,,,,,,,,,,,,,
12,Communicating Effectively (ILC),16,8443,COMM,239,LLFR,TR,1100-1215,,,,,,,,,,,,,,,,,
12,Communicating Effectively (ILC),16,8473,AMST,100,AIDE,TR,1800-1915,,,,,,,,,,,,,,,,,
12,Communicating Effectively (ILC),16,9106,ENGL,123,LLFW,MWF,0900-0950,ILC: Bunch,,,,,,,,,,,,,,,,
13,Cybersecurity Studies in Today's World,16,8179,CPSC,150,LLFR,TR,1800-1915,LC FOR CYBER MAJORS,,,,,,,,,,,,,,,,
13,Cybersecurity Studies in Today's World,16,8230,CYBR,198,,F,1000-1050,,,,,,,,,,,,,,,,,
13,Cybersecurity Studies in Today's World,16,8181,CPSC,150L,,M,1300-1445,,,,,,,,,,,,,,,,,
14,Discovering the Technological Sciences,20,8175,CPSC,150,LLFR,MWF,0800-0850,,,,,,,,,,,,,,,,,
14,Discovering the Technological Sciences,20,8272,PHYS,201,AINW,TR,0930-1045,,,,,,,,,,,,,,,,,
,Discovering the Technological Sciences,,8260,PHYS,151,AINW,TR,1800-1915,,,,,,,,,,,,,,,,,
14,Discovering the Technological Sciences,20,8185,CPSC,150L,,F,,,,,,,,,,,,,,,,,,
15,Discovering the Technological Sciences,18,8176,CPSC,150,LLFR,TR,0930-1045,,,,,,,,,,,,,,,,,
15,Discovering the Technological Sciences,18,8260,PHYS,151,AINW,TR,1800-1915,,,,,,,,,,,,,,,,,
15,Discovering the Technological Sciences,18,8271,PHYS,201,AINW,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
15,Discovering the Technological Sciences,18,8379,MATH,140,LLFM,MTWRF,1500-1550,Register for MATH 140 No Athletes,,,,,,,,,,,,,,,,
15,Discovering the Technological Sciences,18,8369,MATH,132,LLFM,MWF ,1300-1350,(Only for if we drop 140),,,,,,,,,,,,,,,,
16,Discovering the Technological Sciences,18,8178,CPSC,150,LLFR,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
16,Discovering the Technological Sciences,18,8273,PHYS,201,AINW,TR,1330-1445,,,,,,,,,,,,,,,,,
,Discovering the Technological Sciences,,8260,PHYS,151,AINW,TR,1800-1915,,,,,,,,,,,,,,,,,
16,Discovering the Technological Sciences,18,8376,MATH,140,LLFM,MWF; TR,0900-0950; 0930-1020,Register for MATH 140,,,,,,,,,,,,,,,,
16,Discovering the Technological Sciences,18,8370,MATH,132,LLFM,MW,1600-1715,(Only for if we drop 140) No athletes,,,,,,,,,,,,,,,,
17,Engineering the Future (ILC),20,8242,ENGR,121,,TR,1100-1215,ILC: Gerousis ,,,,,,,,,,,,,,,,
17,Engineering the Future (ILC),20,8174,CPSC,150,AINW,MWF,0900-0950,,,,,,,,,,,,,,,,,
17,Engineering the Future (ILC),20,8378,MATH,140,LLFM,MWF; TR,1300-1350; 1330-1420,No Athletes,,,,,,,,,,,,,,,,
18,Expanding Horizons through Science,16,8256,PHYS,144,AINW,TR,1330-1445,,,,,,,,,,,,,,,,,
18,Expanding Horizons through Science,16,9112,ENGL,123,LLFW,MWF,0900-0950,,,,,,,,,,,,,,,,,
19,Expanding Horizons through Science,18,8257,PHYS,144,AINW,TR,1630-1745,No Athletes,,,,,,,,,,,,,,,,
19,Expanding Horizons through Science,18,8617,HIST,121,AIDE,MWF,1000-1050,,,,,,,,,,,,,,,,,
20,Expanding Horizons through Science,18,8010,BIOL,115,AINW,MW,1600-1715,No Athletes SUPER,,,,,,,,,,,,,,,,
20,Expanding Horizons through Science,18,8814,PHIL,205,LLFR,TR,1330-1445,,,,,,,,,,,,,,,,,
21,Expanding Horizons through Science,20,8343,MATH,115,LLFM,MWF,1100-1150,,,,,,,,,,,,,,,,,
21,Expanding Horizons through Science,20,8006,BIOL,109L,AINW,T,1800-1950,,,,,,,,,,,,,,,,,
21,Expanding Horizons through Science,20,8010,BIOL,115,AINW,MW,1600-1715,No Athletes SUPER,,,,,,,,,,,,,,,,
22,Expanding Horizons through Science,18,8342,MATH,115,LLFM,MWF,0900-0950,,,,,,,,,,,,,,,,,
22,Expanding Horizons through Science,18,8255,PHYS,141,AINW,TR,0930-1045,,,,,,,,,,,,,,,,,
22,Expanding Horizons through Science,18,8785,SPAN,200,LLFL,TR,1800-1915,,,,,,,,,,,,,,,,,
23,Exploring All Things Biological,19,8357,MATH,125,LLFM,TR,1100-1215,,,,,,,,,,,,,,,,,
