dd,Learning Community Title,,CRN,Subject,Course #,Liberal Learning  Attribute,Day,Time,NOTES,,,,,,,,,,,,,,,
1,Analyzing Our World,18,8655,FNAR,202,AICE,MWF,1100-1150,,,,,,,,,,,,,,,,
1,Analyzing Our World,18,8800,RSTD,210,AIGM,MWF,1200-1250,,,,,,,,,,,,,,,,
2,Analyzing Our World,16,8953,GERM,200,LLFL,MWF,0900-0950,,,,,,,,,,,,,,,,
2,Analyzing Our World,16,8966,LATN,200,LLFL,MWF,1400-1450,,,,,,,,,,,,,,,,
2,Analyzing Our World,20,8825,HIST,111,AIGM,TR,0930-1045,,,,,,,,,,,,,,,,
2,Analyzing Our World,18,8779,PHIL,202,AIWT,TR,1330-1445,,,,,,,,,,,,,,,,
3,Analyzing Our World (ILC),16,8905,LDSP,210,,MW,1800-1915,ILC: Hench (PLP Only),,,,,,,,,,,,,,,
3,Analyzing Our World (ILC),16,8814,RSTD,232,AIWT,TR,1100-1215,,,,,,,,,,,,,,,,
4,Analyzing Our World,18,8402,MATH,127,LLFM,MWF,0900-0950,,,,,,,,,,,,,,,,
4,Analyzing Our World,18,8900,LDSP,210,,MW,1800-1915,,,,,,,,,,,,,,,,
4,Analyzing Our World,18,8777,PHIL,202,AIWT,TR,0800-0915,,,,,,,,,,,,,,,,
5,Analyzing Our World (ILC),20,8776,PHIL,201,AIGM,MWF,1300-1350,ILC: Silverman (prefers PLW),,,,,,,,,,,,,,,
5,Analyzing Our World (ILC),19,9208,AMST,100,AIDE,MWF,1000-1050,,,,,,,,,,,,,,,,
5,Analyzing Our World (ILC),20,8849,HIST,122,AIWT,TR,1100-1215,,,,,,,,,,,,,,,,
6,Analyzing Our World (ILC),16,8813,RSTD,232,AIWT,MWF,0900-0950,ILC: Hutchinson,,,,,,,,,,,,,,,
6,Analyzing Our World (ILC),16,8453,PSYC,201,AINW,MWF,1100-1150,,,,,,,,,,,,,,,,
6,Analyzing Our World (ILC),16,8827,HIST,111,AIGM,TR,1500-1615,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",20,8150,CHEM,121,AINW,MWF,1000-1050,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",20,8162,CHEM,121L,AINW,M,1800-2150,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",20,8416,MATH,140,LLFM,MWF; TR,0900-0950; 0930-1020,,,,,,,,,,,,,,,,
7,"Biology, Chemistry and their Applications in Society",20,8407,MATH,130,LLFM,TR,0800-0915,,,,,,,,,,,,,,,,
8,"Biology, Chemistry and their Applications in Society",20,8152,CHEM,121,AINW,MWF,0900-0950,,,,,,,,,,,,,,,,
8,"Biology, Chemistry and their Applications in Society",20,8055,BIOL,211,,MWF,1300-1350,,,,,,,,,,,,,,,,
8,"Biology, Chemistry and their Applications in Society",20,8409,MATH,131,LLFM,MWF,1400-1450,,,,,,,,,,,,,,,,
9,"Biology, Chemistry and their Applications in Society",20,8152,CHEM,121,AINW,MWF,0900-0950,,,,,,,,,,,,,,,,
9,"Biology, Chemistry and their Applications in Society",20,8056,BIOL,211,,TR,1330-1445,,,,,,,,,,,,,,,,
9,"Biology, Chemistry and their Applications in Society",20,8398,MATH,125,LLFM,TR,0930-1045,,,,,,,,,,,,,,,,
10,"Biology, Chemistry and their Applications in Society",18,8151,CHEM,121,AINW,MWF,1300-1350,,,,,,,,,,,,,,,,
10,"Biology, Chemistry and their Applications in Society",18,8901,LDSP,210,,TR,1930-2045,,,,,,,,,,,,,,,,
10,"Biology, Chemistry and their Applications in Society",18,8404,MATH,130,LLFM,MWF,1000-1050,,,,,,,,,,,,,,,,
11,Communicating Effectively,16,8016,COMM,239,LLFR,MW,1930-2045,,,,,,,,,,,,,,,,
11,Communicating Effectively,16,8801,RSTD,211,AIGM,TR,1500-1615,,,,,,,,,,,,,,,,
11,Communicating Effectively,16,8518,POLS,101,AIDE,MWF,1000-1050,,,,,,,,,,,,,,,,
12,Communicating Effectively (ILC),16,9186,ENGL,123,LLFW,MWF,1200-1250,ILC: Bunch,,,,,,,,,,,,,,,
12,Communicating Effectively (ILC),16,9275,COMM,239,LLFR,MW,1930-2045,,,,,,,,,,,,,,,,
12,Communicating Effectively (ILC),16,8657,FNAR,202,AICE,MWF,1500-1550,,,,,,,,,,,,,,,,
13,Cybersecurity Studies in Today's World,20,8747,CYBR,198,,W,1300-1350,,,,,,,,,,,,,,,,
13,Cybersecurity Studies in Today's World,19,9196,ENGL,123,LLFW,MWF,0900-0950,,,,,,,,,,,,,,,,
13,Cybersecurity Studies in Today's World,20,8651,FNAR,201,AICE,TR,1330-1445,,,,,,,,,,,,,,,,
