CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,
"8954","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 142","Williams, LaMonte","5","Open","31","36","","","","",
"8957","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 142","Walker, George","13","Open","20","33","","","","",
"8966","ACCT 201","10","Prin of Account I: Financial","3","","Lec","TR","1630-1745","FORBES 2070C","Scott, Mary","1","Open","23","24","","","","",
"8958","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","LUTR 142","Walker, George","4","Open","29","33","","","","",
"8960","ACCT 201","4","Prin of Account I: Financial","3","","Lec","MWF","1100-1150","FORBES 2070D","Kugel, Jonathan","1","Open","38","39","","","","",
"8961","ACCT 201","5","Prin of Account I: Financial","3","","Lec","MWF","1200-1250","LUTR 170","Walker, George","1","Open","32","33","","","","",
"8967","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 137","Chung, Keun Ho","7","Open","17","24","","","","",
"8968","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","1800-1915","LUTR 137","Chung, Keun Ho","7","Open","17","24","","","","",
"8969","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1330-1445","LUTR 170","Frucot, Veronique","0","Closed","36","36","","","","",
"8970","ACCT 401","1","Taxation","3","","Lec","TR","1800-1915","LUTR 142","Scott, Mary","7","Open","12","19","","","","",
"8971","ACCT 405","1","Auditing","3","","Lec","MWF","1300-1350","FERG 221","Kugel, Jonathan","4","Open","20","24","","","","",
"8972","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","0930-1045","LUTR 170","Frucot, Veronique","7","Open","12","19","","","","",
"9380","ACCT 499","1","IND ST: M&amp;A Aerospace Sector","3","","Ind","","","ARR ","Kugel, Jonathan","-1","Closed","1","0","","","","",
"8973","ACCT 500","1","Adv Finc Statement Analysis","3","","Lec","MW","1800-1915","LUTR 242","Donaldson, William","7","Open","5","12","","","","",
"8974","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","TR","1500-1615","LUTR 242","Scott, Mary","32","Open","4","36","","","","",
"8975","ACCT 570","1","Data Management &amp; Analytics","3","","Lec","MW","1600-1715","LUTR 123","Chen, Xian","3","Open","5","8","","","","",
"8976","ACCT 572","1","Cybr Security for Finc &amp; Acct","3","","Lec","MW","1930-2045","LUTR 242","Rogers, Deborah","7","Open","5","12","","","","",
"8469","AMST 100","1M","The American Experiment","3","  AIDE  ","Lec","MWF","1200-1250","MCM 114","Garmon, Frank","0","Closed","34","34","","","","",
"8470","AMST 100","2M","The American Experiment","3","  AIDE  ","Lec","MWF","1100-1150","MCM 114","Garmon, Frank","1","Open","33","34","","","","",
"8471","AMST 100","3M","The American Experiment","3","  AIDE  ","Lec","TR","1330-1445","MCM 101","White, Jonathan","2","Open","93","95","","","","",
"8472","AMST 100","4M","The American Experiment","3","  AIDE  ","Lec","MWF","0900-0950","MCM 210","Kaufer Busch, Elizabeth","1","Open","33","34","","","","",
"8473","AMST 100","5M","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 262","White, William","1","Open","23","24","","","","",
"8474","AMST 100","6C","The American Experiment","3","  AIDE  ","Lec","TR","1630-1745","MCM 262","White, William","0","Closed","19","19","","","","",
"9239","AMST 100","7R","The American Experiment","3","  AIDE  ","Lec","MWF","1000-1050","MCM 210","Kaufer Busch, Elizabeth","2","Open","32","34","","","","",
"9373","AMST 100","8","The American Experiment","3","  AIDE  ","Lec","MWF","1200-1250","MCM 312","McCarthy, William","1","Open","33","34","","","","",
"9374","AMST 100","9","The American Experiment","3","  AIDE  ","Lec","MWF","1300-1350","MCM 312","Little, David","4","Open","30","34","","","","",
"8475","AMST 120","1M","Encounters w/ the Constitution","3","  AIDE","Lec","TR","0930-1045","MCM 312","White, Jonathan","0","Closed","24","24","","","","",
"9377","AMST 120","2","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1630-1745","MCM 114","Mims, William","2","Open","32","34","","","","",
"8476","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","TR","1100-1215","MCM 114","Morrison, Jeffry","1","Open","33","34","","","","",
